host,subnet,ports
192.168.3.1,192.168.3.0/24,None
192.168.3.200,192.168.3.0/24,23
192.168.3.211,192.168.3.0/24,None
192.168.3.213,192.168.3.0/24,135
192.168.3.213,192.168.3.0/24,139
192.168.3.213,192.168.3.0/24,445
192.168.3.213,192.168.3.0/24,49152
192.168.3.213,192.168.3.0/24,49153
192.168.3.213,192.168.3.0/24,49154
192.168.3.213,192.168.3.0/24,49155
192.168.3.213,192.168.3.0/24,49156
192.168.3.213,192.168.3.0/24,49157
192.168.3.36,192.168.3.0/24,445
192.168.5.1,192.168.5.0/24,None
192.168.5.2,192.168.5.0/24,21
192.168.5.3,192.168.5.0/24,445
192.168.5.4,192.168.5.0/24,None
192.168.5.5,192.168.5.0/24,135
192.168.5.5,192.168.5.0/24,139
192.168.5.5,192.168.5.0/24,445
192.168.5.5,192.168.5.0/24,49152
192.168.5.5,192.168.5.0/24,49153
192.168.5.5,192.168.5.0/24,49154
192.168.5.5,192.168.5.0/24,49155
192.168.5.5,192.168.5.0/24,49156
192.168.5.5,192.168.5.0/24,49157
192.168.7.1,192.168.7.0/24,None
192.168.7.121,192.168.7.0/24,135
192.168.7.121,192.168.7.0/24,139
192.168.7.121,192.168.7.0/24,445
192.168.7.121,192.168.7.0/24,49152
192.168.7.121,192.168.7.0/24,49153
192.168.7.121,192.168.7.0/24,49154
192.168.7.121,192.168.7.0/24,49155
192.168.7.121,192.168.7.0/24,49156
192.168.7.121,192.168.7.0/24,49157
192.168.7.210,192.168.7.0/24,445
192.168.7.249,192.168.7.0/24,22
192.168.7.249,192.168.7.0/24,80
192.168.7.82,192.168.7.0/24,None
